lang,file,core_extended,speaker,wd_ID,wd,start,end,ref,tx,ft,mb_ID,mb,doreco-mb-algn,ps,gl,ph_ID,ph
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000012,yapɛ̃h,6.196,6.606,0004_doreco_jeha1242_Blan_route_retell_DP_25Feb12,yapɛ̃h cɨp lɛh hããh stat kritəh,we left started the car,m000014,yapɛ̃h,****,,1P.EXCL,p000035 p000036 p000037 p000038 p000039,j a p E~ h
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000013,cɨp,6.606,6.910,0004_doreco_jeha1242_Blan_route_retell_DP_25Feb12,yapɛ̃h cɨp lɛh hããh stat kritəh,we left started the car,m000015,cɨp,****,,to.go,p000040 p000041 p000042,c 1 p
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000014,lɛh,6.910,7.096,0004_doreco_jeha1242_Blan_route_retell_DP_25Feb12,yapɛ̃h cɨp lɛh hããh stat kritəh,we left started the car,m000016,lɛh,****,,EMP,p000043 p000044 p000045,l E h
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000015,hããh,7.096,7.420,0004_doreco_jeha1242_Blan_route_retell_DP_25Feb12,yapɛ̃h cɨp lɛh hããh stat kritəh,we left started the car,m000017,hããh,****,,AFF,p000046 p000047 p000048 p000049,h a~ a~ h
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000016,sətat,7.420,7.740,0004_doreco_jeha1242_Blan_route_retell_DP_25Feb12,yapɛ̃h cɨp lɛh hããh stat kritəh,we left started the car,m000018,stat,****,,start,p000050 p000051 p000052 p000053 p000054,s @ t a t
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000017,kəritəh,7.740,8.350,0004_doreco_jeha1242_Blan_route_retell_DP_25Feb12,yapɛ̃h cɨp lɛh hããh stat kritəh,we left started the car,m000019,kritəh,****,,car,p000055 p000056 p000057 p000058 p000059 p000060 p000061,k @ r i t @ h
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000018,<p:>,8.350,9.280,<p:>,<p:>,<p:>,m000020,<p:>,<p:>,,<p:>,p000062,<p:>
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000019,bɛr,9.280,9.540,0005_doreco_jeha1242_Blan_route_retell_DP_25Feb12,bɛr yɛʔ,my younger brother,m000021,bɛr,****,,younger.sibling,p000063 p000064 p000065,b E r
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000020,yɛʔ,9.540,9.900,0005_doreco_jeha1242_Blan_route_retell_DP_25Feb12,bɛr yɛʔ,my younger brother,m000022,yɛʔ,****,,1S,p000066 p000067 p000068,j E ?
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000021,<p:>,9.900,10.650,<p:>,<p:>,<p:>,m000023,<p:>,<p:>,,<p:>,p000069,<p:>
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000022,ʔoʔ,10.650,10.760,0006_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔoʔ stat kritəh lpas cnʔon yapɛ̃h cɨp canʔə̃h ʔoʔ yɨy kritəh ton ton ton ton ton ton ton ton ton ton,he started the car then we left from here he drove the car there there there there there there there there there there,m000024,ʔoʔ,****,,3S,p000070 p000071 p000072,? o ?
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000023,sətat,10.760,11.130,0006_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔoʔ stat kritəh lpas cnʔon yapɛ̃h cɨp canʔə̃h ʔoʔ yɨy kritəh ton ton ton ton ton ton ton ton ton ton,he started the car then we left from here he drove the car there there there there there there there there there there,m000025,stat,****,,start,p000073 p000074 p000075 p000076 p000077,s @ t a t
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000024,kəritəh,11.130,11.724,0006_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔoʔ stat kritəh lpas cnʔon yapɛ̃h cɨp canʔə̃h ʔoʔ yɨy kritəh ton ton ton ton ton ton ton ton ton ton,he started the car then we left from here he drove the car there there there there there there there there there there,m000026,kritəh,****,,car,p000078 p000079 p000080 p000081 p000082 p000083 p000084,k @ r i t @ h
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000025,lpas,11.724,12.070,0006_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔoʔ stat kritəh lpas cnʔon yapɛ̃h cɨp canʔə̃h ʔoʔ yɨy kritəh ton ton ton ton ton ton ton ton ton ton,he started the car then we left from here he drove the car there there there there there there there there there there,m000027,lpas,****,,after,p000085 p000086 p000087 p000088,l p a s
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000026,cənʔon,12.070,12.390,0006_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔoʔ stat kritəh lpas cnʔon yapɛ̃h cɨp canʔə̃h ʔoʔ yɨy kritəh ton ton ton ton ton ton ton ton ton ton,he started the car then we left from here he drove the car there there there there there there there there there there,m000028 m000029,cn= ʔon,**** ****,,SOURCE= DEM,p000089 p000090 p000091 p000092 p000093 p000094,c @ n ? o n
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000027,yapɛ̃h,12.390,12.802,0006_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔoʔ stat kritəh lpas cnʔon yapɛ̃h cɨp canʔə̃h ʔoʔ yɨy kritəh ton ton ton ton ton ton ton ton ton ton,he started the car then we left from here he drove the car there there there there there there there there there there,m000030,yapɛ̃h,****,,1P.EXCL,p000095 p000096 p000097 p000098 p000099,j a p E~ h
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000028,<<pr>cɨp>,12.802,14.090,0006_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔoʔ stat kritəh lpas cnʔon yapɛ̃h cɨp canʔə̃h ʔoʔ yɨy kritəh ton ton ton ton ton ton ton ton ton ton,he started the car then we left from here he drove the car there there there there there there there there there there,m000031,cɨp,****,,to.go,p000100,<<pr>cɨp>
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000029,canʔə̃h,14.090,14.390,0006_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔoʔ stat kritəh lpas cnʔon yapɛ̃h cɨp canʔə̃h ʔoʔ yɨy kritəh ton ton ton ton ton ton ton ton ton ton,he started the car then we left from here he drove the car there there there there there there there there there there,m000032 m000033,can= ʔə̃h,**** ****,,SOURCE= DEM,p000101 p000102 p000103 p000104 p000105 p000106,c a n ? @~ h
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000030,ʔoʔ,14.390,14.550,0006_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔoʔ stat kritəh lpas cnʔon yapɛ̃h cɨp canʔə̃h ʔoʔ yɨy kritəh ton ton ton ton ton ton ton ton ton ton,he started the car then we left from here he drove the car there there there there there there there there there there,m000034,ʔoʔ,****,,3S,p000107 p000108 p000109,? o ?
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000031,yɨy,14.550,14.730,0006_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔoʔ stat kritəh lpas cnʔon yapɛ̃h cɨp canʔə̃h ʔoʔ yɨy kritəh ton ton ton ton ton ton ton ton ton ton,he started the car then we left from here he drove the car there there there there there there there there there there,m000035,yɨy,****,,to.carry,p000110 p000111 p000112,j 1 j
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000032,kəritəh,14.730,15.213,0006_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔoʔ stat kritəh lpas cnʔon yapɛ̃h cɨp canʔə̃h ʔoʔ yɨy kritəh ton ton ton ton ton ton ton ton ton ton,he started the car then we left from here he drove the car there there there there there there there there there there,m000036,kritəh,****,,car,p000113 p000114 p000115 p000116 p000117 p000118 p000119,k @ r i t @ h
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000033,ton,15.213,15.470,0006_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔoʔ stat kritəh lpas cnʔon yapɛ̃h cɨp canʔə̃h ʔoʔ yɨy kritəh ton ton ton ton ton ton ton ton ton ton,he started the car then we left from here he drove the car there there there there there there there there there there,m000037,ton,****,,DEM,p000120 p000121 p000122,t o n
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000034,ton,15.470,15.680,0006_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔoʔ stat kritəh lpas cnʔon yapɛ̃h cɨp canʔə̃h ʔoʔ yɨy kritəh ton ton ton ton ton ton ton ton ton ton,he started the car then we left from here he drove the car there there there there there there there there there there,m000038,ton,****,,DEM,p000123 p000124 p000125,t o n
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000035,ton,15.680,15.920,0006_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔoʔ stat kritəh lpas cnʔon yapɛ̃h cɨp canʔə̃h ʔoʔ yɨy kritəh ton ton ton ton ton ton ton ton ton ton,he started the car then we left from here he drove the car there there there there there there there there there there,m000039,ton,****,,DEM,p000126 p000127 p000128,t o n
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000036,ton,15.920,16.130,0006_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔoʔ stat kritəh lpas cnʔon yapɛ̃h cɨp canʔə̃h ʔoʔ yɨy kritəh ton ton ton ton ton ton ton ton ton ton,he started the car then we left from here he drove the car there there there there there there there there there there,m000040,ton,****,,DEM,p000129 p000130 p000131,t o n
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000037,ton,16.130,16.340,0006_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔoʔ stat kritəh lpas cnʔon yapɛ̃h cɨp canʔə̃h ʔoʔ yɨy kritəh ton ton ton ton ton ton ton ton ton ton,he started the car then we left from here he drove the car there there there there there there there there there there,m000041,ton,****,,DEM,p000132 p000133 p000134,t o n
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000038,ton,16.340,16.620,0006_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔoʔ stat kritəh lpas cnʔon yapɛ̃h cɨp canʔə̃h ʔoʔ yɨy kritəh ton ton ton ton ton ton ton ton ton ton,he started the car then we left from here he drove the car there there there there there there there there there there,m000042,ton,****,,DEM,p000135 p000136 p000137,t o n
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000039,ton,16.620,16.830,0006_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔoʔ stat kritəh lpas cnʔon yapɛ̃h cɨp canʔə̃h ʔoʔ yɨy kritəh ton ton ton ton ton ton ton ton ton ton,he started the car then we left from here he drove the car there there there there there there there there there there,m000043,ton,****,,DEM,p000138 p000139 p000140,t o n
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000040,ton,16.830,17.020,0006_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔoʔ stat kritəh lpas cnʔon yapɛ̃h cɨp canʔə̃h ʔoʔ yɨy kritəh ton ton ton ton ton ton ton ton ton ton,he started the car then we left from here he drove the car there there there there there there there there there there,m000044,ton,****,,DEM,p000141 p000142 p000143,t o n
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000041,ton,17.020,17.190,0006_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔoʔ stat kritəh lpas cnʔon yapɛ̃h cɨp canʔə̃h ʔoʔ yɨy kritəh ton ton ton ton ton ton ton ton ton ton,he started the car then we left from here he drove the car there there there there there there there there there there,m000045,ton,****,,DEM,p000144 p000145 p000146,t o n
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000042,ton,17.190,17.490,0006_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔoʔ stat kritəh lpas cnʔon yapɛ̃h cɨp canʔə̃h ʔoʔ yɨy kritəh ton ton ton ton ton ton ton ton ton ton,he started the car then we left from here he drove the car there there there there there there there there there there,m000046,ton,****,,DEM,p000147 p000148 p000149,t o n
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000043,<p:>,17.490,18.070,<p:>,<p:>,<p:>,m000047,<p:>,<p:>,,<p:>,p000150,<p:>
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000044,sampɛy,18.070,19.189,0007_doreco_jeha1242_Blan_route_retell_DP_25Feb12,sampɛy baspadan,to the border,m000048,sampɛy,****,,until,p000151 p000152 p000153 p000154 p000155 p000156,s a m p E j
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000045,baspadan,19.189,20.200,0007_doreco_jeha1242_Blan_route_retell_DP_25Feb12,sampɛy baspadan,to the border,m000049 m000050,ba= spadan,**** ****,,GOAL= border,p000157 p000158 p000159 p000160 p000161 p000162 p000163 p000164,b a s p a d a n
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000046,<p:>,20.200,20.930,<p:>,<p:>,<p:>,m000051,<p:>,<p:>,,<p:>,p000165,<p:>
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000047,lpas,20.930,21.220,0008_doreco_jeha1242_Blan_route_retell_DP_25Feb12,lpas ton pɛ̃h brntiʔ pɛ̃h boh kritəh yapɛ̃h kton,then we stopped and parked our car there,m000052,lpas,****,,after,p000166 p000167 p000168 p000169,l p a s
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000048,ton,21.220,21.460,0008_doreco_jeha1242_Blan_route_retell_DP_25Feb12,lpas ton pɛ̃h brntiʔ pɛ̃h boh kritəh yapɛ̃h kton,then we stopped and parked our car there,m000053,ton,****,,DEM,p000170 p000171 p000172,t o n
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000049,pɛ̃h,21.460,21.675,0008_doreco_jeha1242_Blan_route_retell_DP_25Feb12,lpas ton pɛ̃h brntiʔ pɛ̃h boh kritəh yapɛ̃h kton,then we stopped and parked our car there,m000054,pɛ̃h,****,,1P.EXCL,p000173 p000174 p000175,p E~ h
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000050,bərəntiʔ,21.675,22.121,0008_doreco_jeha1242_Blan_route_retell_DP_25Feb12,lpas ton pɛ̃h brntiʔ pɛ̃h boh kritəh yapɛ̃h kton,then we stopped and parked our car there,m000055,brntiʔ,****,,****,p000176 p000177 p000178 p000179 p000180 p000181 p000182 p000183,b @ r @ n t i ?
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000051,pɛ̃h,22.121,22.390,0008_doreco_jeha1242_Blan_route_retell_DP_25Feb12,lpas ton pɛ̃h brntiʔ pɛ̃h boh kritəh yapɛ̃h kton,then we stopped and parked our car there,m000056,pɛ̃h,****,,1P.EXCL,p000184 p000185 p000186,p E~ h
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000052,boh,22.390,22.610,0008_doreco_jeha1242_Blan_route_retell_DP_25Feb12,lpas ton pɛ̃h brntiʔ pɛ̃h boh kritəh yapɛ̃h kton,then we stopped and parked our car there,m000057,boh,****,,to.put,p000187 p000188 p000189,b o h
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000053,kəritəh,22.610,23.035,0008_doreco_jeha1242_Blan_route_retell_DP_25Feb12,lpas ton pɛ̃h brntiʔ pɛ̃h boh kritəh yapɛ̃h kton,then we stopped and parked our car there,m000058,kritəh,****,,car,p000190 p000191 p000192 p000193 p000194 p000195 p000196,k @ r i t @ h
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000054,yapɛ̃h,23.035,23.410,0008_doreco_jeha1242_Blan_route_retell_DP_25Feb12,lpas ton pɛ̃h brntiʔ pɛ̃h boh kritəh yapɛ̃h kton,then we stopped and parked our car there,m000059,yapɛ̃h,****,,1P.EXCL,p000197 p000198 p000199 p000200 p000201,j a p E~ h
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000055,kəton,23.410,24.010,0008_doreco_jeha1242_Blan_route_retell_DP_25Feb12,lpas ton pɛ̃h brntiʔ pɛ̃h boh kritəh yapɛ̃h kton,then we stopped and parked our car there,m000060 m000061,k= ton,end start,,LOC= DEM,p000202 p000203 p000204 p000205 p000206,k @ t o n
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000056,<p:>,24.010,24.940,<p:>,<p:>,<p:>,m000062,<p:>,<p:>,,<p:>,p000207,<p:>
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000057,lpas,24.940,25.120,0009_doreco_jeha1242_Blan_route_retell_DP_25Feb12,lpas ton hããh yapɛ̃h,then yes we,m000063,lpas,****,,after,p000208 p000209 p000210 p000211,l p a s
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000058,<<pr>ton>,25.120,26.660,0009_doreco_jeha1242_Blan_route_retell_DP_25Feb12,lpas ton hããh yapɛ̃h,then yes we,m000064,ton,****,,DEM,p000212,<<pr>ton>
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000059,hããh,26.660,27.027,0009_doreco_jeha1242_Blan_route_retell_DP_25Feb12,lpas ton hããh yapɛ̃h,then yes we,m000065,hããh,****,,AFF,p000213 p000214 p000215 p000216,h a~ a~ h
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000060,yapɛ̃h,27.027,27.460,0009_doreco_jeha1242_Blan_route_retell_DP_25Feb12,lpas ton hããh yapɛ̃h,then yes we,m000066,yapɛ̃h,****,,1P.EXCL,p000217 p000218 p000219 p000220 p000221,j a p E~ h
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000061,<p:>,27.460,28.290,<p:>,<p:>,<p:>,m000067,<p:>,<p:>,,<p:>,p000222,<p:>
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000062,ʔajɔʔ,28.290,28.600,0010_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔajɔʔ yapɛ̃h rihat kton pɛ̃h jhɨt tmakɔw,we rested for a little while there we smoked,m000068,ʔajɔʔ,****,,****,p000223 p000224 p000225 p000226 p000227,? a J\ O ?
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000063,yapɛ̃h,28.600,28.880,0010_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔajɔʔ yapɛ̃h rihat kton pɛ̃h jhɨt tmakɔw,we rested for a little while there we smoked,m000069,yapɛ̃h,****,,1P.EXCL,p000228 p000229 p000230 p000231 p000232,j a p E~ h
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000064,rihat,28.880,29.250,0010_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔajɔʔ yapɛ̃h rihat kton pɛ̃h jhɨt tmakɔw,we rested for a little while there we smoked,m000070,rihat,****,,to.rest,p000233 p000234 p000235 p000236 p000237,r i h a t
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000065,kton,29.250,29.540,0010_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔajɔʔ yapɛ̃h rihat kton pɛ̃h jhɨt tmakɔw,we rested for a little while there we smoked,m000071 m000072,k= ton,**** ****,,LOC= DEM,p000238 p000239 p000240 p000241,k t o n
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000066,pɛ̃h,29.540,29.709,0010_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔajɔʔ yapɛ̃h rihat kton pɛ̃h jhɨt tmakɔw,we rested for a little while there we smoked,m000073,pɛ̃h,****,,1P.EXCL,p000242 p000243 p000244,p E~ h
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000067,jəthɨt,29.709,30.030,0010_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔajɔʔ yapɛ̃h rihat kton pɛ̃h jhɨt tmakɔw,we rested for a little while there we smoked,m000074,jhɨt,****,,to.smoke,p000245 p000246 p000247 p000248 p000249 p000250,J\ @ t h 1 t
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000068,təmakɔw,30.030,30.510,0010_doreco_jeha1242_Blan_route_retell_DP_25Feb12,ʔajɔʔ yapɛ̃h rihat kton pɛ̃h jhɨt tmakɔw,we rested for a little while there we smoked,m000075,tmakɔw,****,,tobacco,p000251 p000252 p000253 p000254 p000255 p000256 p000257,t @ m a k O w
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000069,<p:>,30.510,31.285,<p:>,<p:>,<p:>,m000076,<p:>,<p:>,,<p:>,p000258,<p:>
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000070,lpas,31.285,31.415,0011_doreco_jeha1242_Blan_route_retell_DP_25Feb12,lpas ton yapɛ̃h gɛs,then we moved down,m000077,lpas,****,,after,p000259 p000260 p000261 p000262,l p a s
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000071,ton,31.415,31.635,0011_doreco_jeha1242_Blan_route_retell_DP_25Feb12,lpas ton yapɛ̃h gɛs,then we moved down,m000078,ton,****,,DEM,p000263 p000264 p000265,t o n
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000072,yapɛ̃h,31.635,32.005,0011_doreco_jeha1242_Blan_route_retell_DP_25Feb12,lpas ton yapɛ̃h gɛs,then we moved down,m000079,yapɛ̃h,****,,1P.EXCL,p000266 p000267 p000268 p000269 p000270,j a p E~ h
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000073,gɛs,32.005,32.465,0011_doreco_jeha1242_Blan_route_retell_DP_25Feb12,lpas ton yapɛ̃h gɛs,then we moved down,m000080,gɛs,****,,to.descend,p000271 p000272 p000273,g E s
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000074,<p:>,32.465,33.340,<p:>,<p:>,<p:>,m000081,<p:>,<p:>,,<p:>,p000274,<p:>
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000075,pɛ̃h,33.340,33.580,0012_doreco_jeha1242_Blan_route_retell_DP_25Feb12,pɛ̃h gɛs gɛs gɛs gɛs gɛs gɛs gɛs bʔuyih lpas ton yapɛ̃h tigil ʔajɔʔ pɛ̃h jlʔɨl batɔm,we moved down down down down down down down to down there then we moved along the hillside a little bit then we moved down to the water,m000082,pɛ̃h,****,,1P.EXCL,p000275 p000276 p000277,p E~ h
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000076,gɛs,33.580,33.890,0012_doreco_jeha1242_Blan_route_retell_DP_25Feb12,pɛ̃h gɛs gɛs gɛs gɛs gɛs gɛs gɛs bʔuyih lpas ton yapɛ̃h tigil ʔajɔʔ pɛ̃h jlʔɨl batɔm,we moved down down down down down down down to down there then we moved along the hillside a little bit then we moved down to the water,m000083,gɛs,****,,to.descend,p000278 p000279 p000280,g E s
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000077,gɛs,33.890,34.200,0012_doreco_jeha1242_Blan_route_retell_DP_25Feb12,pɛ̃h gɛs gɛs gɛs gɛs gɛs gɛs gɛs bʔuyih lpas ton yapɛ̃h tigil ʔajɔʔ pɛ̃h jlʔɨl batɔm,we moved down down down down down down down to down there then we moved along the hillside a little bit then we moved down to the water,m000084,gɛs,****,,to.descend,p000281 p000282 p000283,g E s
jeha1242,doreco_jeha1242_Blan_route_retell_DP_25Feb12,core,DP,w000078,gɛs,34.200,34.450,0012_doreco_jeha1242_Blan_route_retell_DP_25Feb12,pɛ̃h gɛs gɛs gɛs gɛs gɛs gɛs gɛs bʔuyih lpas ton yapɛ̃h tigil ʔajɔʔ pɛ̃h jlʔɨl batɔm,we moved down down down down down down down to down there then we moved along the hillside a little bit then we moved down to the water,m000085,gɛs,****,,to.descend,p000284 p000285 p000286,g E s
